OTU	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	CS4	CS5	CS6	M10	M11	M12	M13	P1	P12	P2	P3	P4
241c29b496479c13714517aea3637b55	d__Bacteria	p__Deferribacterota	NA	NA	NA	NA	NA	5	0	0	3	0	0	9	0	67	0	0	0
bb2f21ec7f0627e4656bfd900ef70d2a	d__Bacteria	p__Modulibacteria	NA	NA	NA	NA	NA	5	0	15	14	2	4	6	10	5	120	6	8
5a4c7d5af177cff3ba0191b4133a753c	d__Archaea	p__Aenigmarchaeota	NA	NA	NA	NA	NA	2	2	6	22	6	4	0	0	2	215	0	0
290eb3dcb8a7bcc8911e602f5bc718f3	d__Bacteria	p__Elusimicrobiota	NA	NA	NA	NA	NA	97	42	92	53	28	38	73	13	11	48	38	26
54b853f86d1419355ab275e5ea30ddfc	d__Bacteria	p__Nitrospinota	NA	NA	NA	NA	NA	17	35	9	19	14	25	19	9	11	5	16	0
c28ee8cbf72874eb8fed88607625f7fa	d__Bacteria	p__Deferrisomatota	NA	NA	NA	NA	NA	0	4	11	39	0	1	46	5	0	9	13	19
e9653fc14b20d95f0afb112466a67b43	d__Bacteria	p__CK-2C2-2	NA	NA	NA	NA	NA	0	0	0	0	2	5	2	0	10	37	0	0
3c43244ad62406dd9f06a370f530b8e0	d__Bacteria	p__WS2	NA	NA	NA	NA	NA	2	12	17	7	17	7	9	23	9	58	14	4
58303e44d615dc14186f4efac7156d43	d__Bacteria	p__FW113	NA	NA	NA	NA	NA	0	0	0	3	0	0	0	0	0	69	12	0
998a29483e4ff6c2ef52529f82a045ea	d__Archaea	p__Micrarchaeota	NA	NA	NA	NA	NA	7	20	4	2	0	3	0	0	5	26	5	0
fb7d44d8d99e83f096de248071d0df8e	d__Bacteria	p__DTB120	NA	NA	NA	NA	NA	7	12	16	0	3	5	0	0	0	0	2	13
e44b93840a2df5693b607a4470b1ec10	d__Bacteria	p__TA06	NA	NA	NA	NA	NA	0	0	8	2	0	0	5	0	0	55	0	0
dad5cfdc766c23904783709079a06578	d__Bacteria	p__Sumerlaeota	NA	NA	NA	NA	NA	3	6	0	11	4	13	4	0	4	75	12	17
df1097541347152b33817301c5152dd4	d__Bacteria	p__10bav-F6	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	24	0	0
5e649608a550c02e5bff96f31e2d16d3	d__Bacteria	p__Dadabacteria	NA	NA	NA	NA	NA	0	3	0	6	0	0	2	2	3	13	3	4
75c2ee65cfb96b87f2ae7022c07c0cd1	d__Bacteria	p__PAUC34f	NA	NA	NA	NA	NA	0	2	5	5	4	0	0	0	0	15	12	2
65032d799b1558b687d3f9a8d33938bb	d__Archaea	p__Iainarchaeota	NA	NA	NA	NA	NA	0	0	0	0	4	9	0	0	0	0	13	0
4cd2f61e3dd6cfaeb6dd93e5a987ff13	d__Bacteria	p__Armatimonadota	NA	NA	NA	NA	NA	3	2	2	5	2	0	3	0	0	25	0	4
d564913838fcd573931180a4048e2521	d__Bacteria	p__Margulisbacteria	NA	NA	NA	NA	NA	5	0	0	4	2	5	8	0	2	10	12	0
80990d72f13c135e422d977ddda86fd1	d__Bacteria	p__WOR-1	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	32	0	0
a4e48c0624df3cbd68b72a603c408537	d__Bacteria	p__Synergistota	NA	NA	NA	NA	NA	0	0	7	0	0	0	0	0	0	2	0	0
d05717e85abcfe191735ac3c9dbb407a	d__Bacteria	p__Thermotogota	NA	NA	NA	NA	NA	0	0	0	7	0	0	0	0	0	0	6	0
81ac003849d8f82cfaea0cbb4bc63ee5	d__Bacteria	p__RCP2-54	NA	NA	NA	NA	NA	0	0	0	6	0	0	0	0	0	7	0	0
b26f1c1cc7903af2b9d13e6b4cc2af87	d__Bacteria	p__FCPU426	NA	NA	NA	NA	NA	3	0	0	7	6	0	0	0	4	10	8	0
c305fe2b57d0a098c59ca97a18919ad2	d__Eukaryota	NA	NA	NA	NA	NA	NA	4	0	6	0	0	5	7	0	0	14	8	5
73a1b0c44781257e97e6249af093f6ca	d__Bacteria	p__Poribacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	8	0	0
af64b6892e50edaaa8c0718602e08db6	d__Bacteria	p__Methylomirabilota	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
290386e88196c9eae92a1ee4e6d318c1	d__Bacteria	p__Aerophobota	NA	NA	NA	NA	NA	0	0	0	0	0	0	3	0	0	2	0	0
eeca8ea97e04fb50f234a4491b0057cb	d__Bacteria	p__Caldisericota	NA	NA	NA	NA	NA	0	0	0	0	0	0	3	0	0	0	0	0
273556f7351ea37e5356355d998f22ab	d__Archaea	p__Altiarchaeota	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	2	0
