Order,Taxon,Control-1,Control-2,Control-3,,Can-1,Can-2,Can-3,Can-4,,Plastic-1,Plastic-2,Plastic-3,Plastic-4,,Biofilm-1
1,Proteobacteria,52.3618895116093,44.0633913962614,47.5938263175054,,45.4089210506684,50.8194991028483,49.7182054652756,40.3984231503597,,54.4974946815557,15.0829912303433,43.7259306803594,53.4749929755549,,47.5562468669832
2,Bacteroidota,10.4483586869496,9.99666970736863,12.4587078081459,,8.60568739021628,14.5496901433935,12.7031298072889,20.8170288145314,,13.0105122070959,4.34254851952374,12.4075432483648,11.7392525990447,,22.4390351782502
3,Actinobacteriota,8.91195715192844,16.3625964698898,16.8601325041062,,11.502960345611,13.2386423606399,8.75381086901798,11.0473853480758,,10.0625745166645,2.96299832244514,10.3582126046824,13.4799100871031,,8.44661339309409
4,Desulfobacterota,9.36956461721101,8.12446606721399,4.95690848358462,,9.23980494950797,4.54908701617889,8.71605179984896,6.33063023166331,,8.27183679194558,6.1148920500266,9.80576441102757,5.16437201461085,,3.25686314982455
5,Campilobacterota,0.194638469396207,0.098460825622982,0.771402734973333,,2.8484425123263,0.330966059015998,1.26562805918384,0.493672999716864,,0.695099238663726,46.254824675059,0.249098355645211,0.091317785894914,,1.03942440951847
6,Acidobacteriota,2.50821346732558,4.44014884960109,3.76904669631708,,4.26859456490041,2.14788679302182,3.48642071993959,1.8948331312662,,2.43440585379538,1.41296490773448,3.61651078916804,3.42722674908682,,1.7205791289476
7,Firmicutes,1.94362386460893,0.645787179821323,0.94487607728791,,2.99764664392434,1.98655026311425,0.577573909881688,8.11003099976042,,1.22577477849556,0.679887071916641,1.42200012225686,1.03821298117449,,6.02718721434258
8,Gemmatimonadota,1.79937053090748,3.63725873477839,2.06630126537115,,2.92643558111618,1.77394791996502,2.54104550667077,1.65670850787336,,1.51643847358701,0.500538726967717,3.33761232349166,2.43677999438044,,0.814584377672279
9,Myxococcota,1.88840727754617,2.73373586435573,1.61416329870018,,1.20855346594416,1.70006483617557,1.69356417643275,1.23055255076483,,1.17590218738068,0.566004282538427,1.96145852435968,1.98721550997471,,1.50163654055967
10,Chloroflexi,0.490737417520223,0.367780142768197,0.518574565855279,,0.587999918615928,0.379970145202877,0.542611808799262,0.521986598230037,,0.500284429621202,9.1665416456404,0.482914603582126,0.227592020230402,,0.375224840031846
11,Latescibacterota,0.777173462908258,1.21410885713045,1.31212283389005,,1.48525930999871,0.864733643943849,1.21947808575504,0.800766645128972,,0.780817754642437,0.660111018671322,1.36469221835076,1.01222253441978,,0.402500516026303
12,Nanoarchaeota,2.5385825902101,1.83672878386401,0.417689359686518,,1.07901715169313,1.24545769816499,0.691550359410399,0.370980739493114,,0.342094804678672,0.632151770979665,1.55495445931903,0.304158471480753,,0.070032141066848
13,Crenarchaeota,0.296789155462301,0.325065519887639,0.703735828396725,,0.876913373437595,0.743354292004041,1.1222834447459,0.742687468691694,,0.956930342016879,1.43137709523874,1.4189437007152,0.232509131778589,,0.723911184501519
14,Unkown Bacteria,0.793738439027084,0.899902987127695,0.584396011343434,,0.950837238638444,0.548091856274785,0.91530780633793,0.691868189309076,,0.527558502887155,0.811500115928588,0.933736780976832,0.819752739533577,,0.319199127178368
15,Calditrichota,0.983545457055299,0.87818368735792,0.941800308807155,,0.828761130967317,0.611420213808598,0.906916902078147,0.398568348300821,,0.487816281842481,0.742624896005237,0.924567516351855,0.571087384096656,,0.313301683720107
16,NB1-j,0.585986030203473,0.89555912717374,0.664981145539213,,0.8918337865974,0.447068047827988,0.737700332839202,0.342667140979941,,0.232998511614859,0.197078599582657,0.78397212543554,0.824669851081764,,0.35089788576652
17,Spirochaetota,0.251235471135529,0.372124002722152,0.378934676829006,,0.410311361894621,0.496826043033127,0.623024641288843,0.747769396629956,,0.474568874827589,1.40069011606497,0.868023717831163,0.285192469794886,,0.128269395217173
18,Verrucomicrobiota,0.847574611413269,0.758003561965162,0.420765128167273,,0.623944550319093,0.444806320773209,0.553799681145638,0.571353898201723,,0.296118509744637,0.170483217632056,0.543278929029892,0.724220286597359,,0.456314687582933
19,Patescibacteria,0.769581182187129,0.328685403182601,0.384471060094365,,0.326214487721178,0.307594879449948,0.406259614577798,0.44575767915611,,0.191697772097844,0.465760150570778,0.276606149520142,0.103259342511942,,0.605225134904019
20,Other,2.23903260539461,2.02134283190709,2.6371638953992,,2.93186118590154,2.81434236516334,2.82563700948177,2.38632816186667,,2.31907548684221,6.40403158713055,3.96417873953183,2.05605507164938,,3.45295314481173
